enrollment_id,facility_id,enrollment_month,age_band,enrolled_count,subsidized_count,record_created
ENR000072,FAC0003,2025-01,School-Age,6,2,2025-01-13
ENR000073,FAC0003,2025-01,Infant,53,43,2025-01-18
ENR000074,FAC0003,2025-02,Toddler,39,23,2025-02-08
ENR000075,FAC0003,2025-02,Infant,31,26,2025-02-17
ENR000076,FAC0003,2025-02,School-Age,43,27,2025-02-16
ENR000077,FAC0003,2025-03,Toddler,11,5,2025-03-05
ENR000078,FAC0003,2025-03,School-Age,23,9,2025-03-19
ENR000079,FAC0003,2025-03,Infant,42,18,2025-03-06
ENR000080,FAC0003,2025-04,Toddler,24,12,2025-04-07
ENR000081,FAC0003,2025-04,Kindergarten,15,11,2025-04-12
ENR000082,FAC0003,2025-04,Infant,19,14,2025-04-04
ENR000083,FAC0003,2025-05,Kindergarten,24,11,2025-05-17
ENR000084,FAC0003,2025-05,Toddler,21,11,2025-05-09
ENR000085,FAC0003,2025-05,School-Age,22,13,2025-05-15
ENR000086,FAC0003,2025-05,Infant,12,11,2025-05-11
ENR000087,FAC0003,2025-06,Kindergarten,35,15,2025-06-06
ENR000088,FAC0003,2025-06,Preschool,37,35,2025-06-06
ENR000089,FAC0003,2025-07,School-Age,43,38,2025-07-21
ENR000090,FAC0003,2025-07,Preschool,45,40,2025-07-15
ENR000091,FAC0003,2025-07,Kindergarten,11,5,2025-07-26
ENR000092,FAC0003,2025-08,School-Age,22,10,2025-08-10
ENR000093,FAC0003,2025-08,Toddler,40,24,2025-08-04
ENR000094,FAC0003,2025-08,Infant,16,9,2025-08-07
ENR000095,FAC0003,2025-09,Infant,23,13,2025-09-01
ENR000096,FAC0003,2025-09,Preschool,21,9,2025/08/03
ENR000097,FAC0003,2025-09,Kindergarten,5,4,2025-09-06
ENR000098,FAC0003,2025-09,School-Age,26,14,2025-09-21
ENR000099,FAC0003,2025-10,Toddler,17,13,2025-10-19
ENR000100,FAC0003,2025-10,Kindergarten,39,24,2025-10-25
ENR000101,FAC0003,2025-10,School-Age,16,6,2025-10-01
ENR000102,FAC0003,2025-11,Kindergarten,38,15,2025-11-21
ENR000103,FAC0003,2025-11,Preschool,48,35,2025-11-27
ENR000104,FAC0003,2025-11,Infant,47,22,2025-11-16
ENR000105,FAC0003,2025-12,Infant,22,15,2025-12-07
ENR000106,FAC0003,2025-12,Kindergarten,26,14,2025-12-23
ENR000107,FAC0004,2025-01,Preschool,37,27,2025-01-28
ENR000108,FAC0004,2025-01,School-Age,30,16,2025-01-06
ENR000109,FAC0004,2025-02,Preschool,40,28,2025-02-25
ENR000110,FAC0004,2025-02,School-Age,25,23,2025-02-05
ENR000111,FAC0004,2025-02,Infant,29,13,2025-02-06
ENR000112,FAC0004,2025-03,Preschool,43,30,2025-03-23
ENR000113,FAC0004,2025-03,Infant,30,22,2025-03-09
ENR000114,FAC0004,2025-03,Kindergarten,35,32,2025-03-18
ENR000115,FAC0004,2025-03,Toddler,41,37,2025-03-01
ENR000116,FAC0004,2025-04,Infant,33,18,2025-04-04
ENR000117,FAC0004,2025-04,Kindergarten,26,16,2025-04-11
ENR000118,FAC0004,2025-04,School-Age,35,19,2025-04-23
ENR000119,FAC0004,2025-04,Toddler,45,22,2025-04-08
ENR000120,FAC0004,2025-05,Infant,35,22,2025-05-12
ENR000121,FAC0004,2025-05,Preschool,0,32,2025-05-08
ENR000122,FAC0004,2025-05,Kindergarten,0,37,2025-05-28
ENR000123,FAC0004,2025-05,Toddler,27,11,2025-05-22
ENR000124,FAC0004,2025-06,Toddler,36,28,2025-06-21
ENR000125,FAC0004,2025-06,School-Age,28,20,2025-06-12
ENR000126,FAC0004,2025-07,School-Age,42,19,2025-07-22
ENR000127,FAC0004,2025-07,Infant,29,25,2025-07-02
ENR000128,FAC0004,2025-07,Kindergarten,43,18,2025-07-12
ENR000129,FAC0004,2025-08,Infant,41,18,2025-08-14
ENR000130,FAC0004,2025-08,School-Age,43,38,2025-08-08
ENR000131,FAC0004,2025-08,Toddler,29,13,2025-08-08
ENR000132,FAC0004,2025-09,Toddler,37,16,2025-09-27
ENR000133,FAC0004,2025-09,Infant,25,16,2025-09-20
ENR000134,FAC0004,2025-09,School-Age,32,15,2025-09-07
ENR000135,FAC0004,2025-09,Kindergarten,34,20,2025-09-04
ENR000136,FAC0004,2025-10,Kindergarten,30,24,2025-10-06
ENR000137,FAC0004,2025-10,Preschool,40,23,2025-10-20
ENR000138,FAC0004,2025-10,Toddler,37,22,2025-10-12
ENR000139,FAC0004,2025-11,Kindergarten,42,17,2025-11-27
ENR000140,FAC0004,2025-11,Infant,40,29,2025-11-22
ENR000141,FAC0004,2025-11,Toddler,32,24,2025-11-17
ENR000142,FAC0004,2025-11,Preschool,38,29,2025-11-12
ENR000143,FAC0004,2025-12,School-Age,45,35,2025-12-27
ENR000144,FAC0004,2025-12,Toddler,36,14,2025-12-20
ENR000145,FAC0005,2025-01,Preschool,24,12,2025-01-27
ENR000146,FAC0005,2025-01,Toddler,8,5,2025-01-26
ENR000147,FAC0005,2025-01,School-Age,14,12,2025-01-09
ENR000148,FAC0005,2025-01,Kindergarten,20,17,2025-01-10
ENR000149,FAC0005,2025-02,Preschool,64,60,2025-02-16
ENR000150,FAC0005,2025-02,Infant,64,42,2025-02-16
ENR000151,FAC0005,2025-03,Toddler,65,30,2025-03-28
ENR000152,FAC0005,2025-03,Kindergarten,35,19,2025-03-02
ENR000153,FAC0005,2025-04,Preschool,42,30,2025-04-04
ENR000154,FAC0005,2025-04,Kindergarten,61,41,2025-04-03
ENR000155,FAC0005,2025-05,School-Age,28,14,2025-05-13
ENR000156,FAC0005,2025-05,Preschool,8,3,2025-05-01
ENR000157,FAC0005,2025-05,Toddler,9,8,2025-05-20
ENR000158,FAC0005,2025-05,Infant,15,13,2025-05-23
ENR000159,FAC0005,2025-06,Kindergarten,34,24,2025-06-02
ENR000160,FAC0005,2025-06,Preschool,44,32,2025-06-17
ENR000161,FAC0005,2025-06,Infant,17,15,2025-06-07
ENR000162,FAC0005,2025-07,School-Age,4,1,2025-07-16
ENR000163,FAC0005,2025-07,Kindergarten,45,24,2025-07-08
ENR000164,FAC0005,2025-07,Preschool,30,26,2025-07-28
ENR000165,FAC0005,2025-08,Toddler,4,2,2025-08-11
ENR000166,FAC0005,2025-08,School-Age,25,10,2025-08-22
ENR000167,FAC0005,2025-08,Kindergarten,29,25,2025-08-05
ENR000168,FAC0005,2025-08,Infant,25,17,2025-08-22
ENR000169,FAC0005,2025-09,Toddler,37,31,2025-09-11
ENR000170,FAC0005,2025-09,School-Age,16,10,2025-09-04
ENR000171,FAC0005,2025-09,Preschool,12,5,2025-09-02
ENR000172,FAC0005,2025-10,School-Age,42,35,2025-10-12
ENR000173,FAC0005,2025-10,Toddler,41,25,2025-10-05
ENR000174,FAC0005,2025-10,Preschool,38,32,2025-10-11
ENR000175,FAC0005,2025-11,School-Age,36,15,2025-11-09
ENR000176,FAC0005,2025-11,Toddler,47,39,2025-11-13
ENR000177,FAC0005,2025-12,Infant,18,16,2025-12-17
ENR000178,FAC0005,2025-12,Kindergarten,46,34,2025-12-24
ENR000179,FAC0006,2025-01,Toddler,11,6,2025-01-03
ENR000180,FAC0006,2025-01,School-Age,4,2,2025-01-09
ENR000181,FAC0006,2025-01,Preschool,6,3,2025-01-28
ENR000182,FAC0006,2025-02,Toddler,4,3,2025-02-01
ENR000183,FAC0006,2025-02,Infant,4,2,2025-02-09
ENR000184,FAC0006,2025-02,Preschool,4,3,2025-02-05
ENR000185,FAC0006,2025-02,School-Age,8,4,2025-02-10
ENR000186,FAC0006,2025-03,School-Age,12,8,2025-03-18
ENR000187,FAC0006,2025-03,Kindergarten,12,9,2025-03-02
ENR000188,FAC0006,2025-03,Preschool,8,4,2025-03-19
ENR000189,FAC0006,2025-03,Infant,12,8,2025-03-10
ENR000190,FAC0006,2025-04,Infant,8,6,2025-04-16
ENR000191,FAC0006,2025-04,Kindergarten,11,10,2025-04-12
ENR000192,FAC0006,2025-04,Toddler,12,7,2025-04-26
ENR000193,FAC0006,2025-04,School-Age,12,8,2025-04-17
ENR000194,FAC0006,2025-05,School-Age,6,4,2025-05-15
ENR000195,FAC0006,2025-05,Preschool,10,6,2025-05-04
ENR000196,FAC0006,2025-05,Kindergarten,5,4,2025-05-15
ENR000197,FAC0006,2025-05,Toddler,12,8,2025-05-16
ENR000198,FAC0006,2025-06,Toddler,13,9,2025-06-10
ENR000199,FAC0006,2025-06,Preschool,6,2,2025-06-19
ENR000200,FAC0006,2025-06,Infant,7,4,2025-06-17
ENR000201,FAC0006,2025-06,Kindergarten,10,18,2025-06-25
ENR000202,FAC0006,2025-07,School-Age,17,12,2025-07-25
ENR000203,FAC0006,2025-07,Kindergarten,14,11,2025-07-12
ENR000204,FAC0006,2025-08,Infant,6,3,2025-08-13
ENR000205,FAC0006,2025-08,Kindergarten,13,10,2025-08-10
ENR000206,FAC0006,2025-09,School-Age,12,5,2025-09-19
ENR000207,FAC0006,2025-09,Preschool,12,10,2025-09-11
ENR000208,FAC0006,2025-09,Infant,7,3,2025-09-19
ENR000209,FAC0006,2025-09,Toddler,10,6,2025-09-03
ENR000210,FAC0006,2025-10,Toddler,14,7,2025-10-18
ENR000211,FAC0006,2025-10,Infant,16,12,2025-10-26
ENR000212,FAC0006,2025-10,School-Age,4,2,2025-10-03
ENR000213,FAC0006,2025-11,Toddler,8,4,2025-11-04
ENR000214,FAC0006,2025-11,School-Age,5,3,2025-11-19
ENR000215,FAC0006,2025-11,Infant,9,8,2025-11-12
ENR000216,FAC0006,2025-11,Kindergarten,8,3,2025-11-07
ENR000217,FAC0006,2025-12,School-Age,8,4,2025-12-28
ENR000218,FAC0006,2025-12,Infant,15,13,2025-12-08
ENR000219,FAC0006,2025-12,Toddler,5,3,2025-12-05
ENR000220,FAC0007,2025-01,Kindergarten,10,7,2025-01-18
ENR000221,FAC0007,2025-01,Infant,17,12,2025-01-22
ENR000222,FAC0007,2025-01,School-Age,11,6,2025-01-22
ENR000223,FAC0007,2025-02,Toddler,7,3,2025-02-12
ENR000224,FAC0007,2025-02,Infant,27,22,2025-02-28
ENR000225,FAC0007,2025-03,Preschool,27,20,2025-03-01
ENR000226,FAC0007,2025-03,Kindergarten,7,3,2025-03-09
ENR000227,FAC0007,2025-04,School-Age,8,3,2025-04-26
ENR000228,FAC0007,2025-04,Toddler,14,8,2025-04-12
ENR000229,FAC0007,2025-04,Kindergarten,11,4,2025-04-09
ENR000230,FAC0007,2025-05,School-Age,5,4,2025-05-21
ENR000231,FAC0007,2025-05,Preschool,7,4,2025-05-28
ENR000232,FAC0007,2025-05,Toddler,6,4,2025-05-08
ENR000233,FAC0007,2025-05,Kindergarten,11,6,2025-05-09
ENR000234,FAC0007,2025-06,Kindergarten,8,6,2025-06-11
ENR000235,FAC0007,2025-06,Toddler,17,11,2025-06-09
ENR000236,FAC0007,2025-06,Infant,8,6,2025-06-15
ENR000237,FAC0007,2025-07,Infant,8,3,2025-07-20
ENR000238,FAC0007,2025-07,Kindergarten,17,13,2025-07-27
ENR000239,FAC0007,2025-07,Toddler,4,3,2025-07-16
ENR000240,FAC0007,2025-08,Kindergarten,21,19,2025-08-19
ENR000241,FAC0007,2025-08,School-Age,13,8,2025-08-28
ENR000242,FAC0007,2025-09,Kindergarten,5,3,2025-09-01
ENR000243,FAC0007,2025-09,Toddler,18,16,2025-09-25
ENR000244,FAC0007,2025-09,Infant,8,7,2025-09-03
ENR000245,FAC0007,2025-10,Toddler,7,5,2025-10-11
ENR000246,FAC0007,2025-10,School-Age,28,26,2025-10-09
ENR000247,FAC0007,2025-11,Preschool,20,17,2025-11-28
ENR000248,FAC0007,2025-11,Infant,22,17,2025-11-18
ENR000249,FAC0007,2025-12,School-Age,7,3,2025-12-21
ENR000250,FAC0007,2025-12,Preschool,6,4,2025-12-09
ENR000251,FAC0008,2025-01,Preschool,6,2,2025-01-08
ENR000252,FAC0008,2025-01,School-Age,12,9,2025-01-09
ENR000253,FAC0008,2025-01,Infant,6,3,2025-01-23
ENR000254,FAC0008,2025-02,Toddler,4,3,2025-02-07
ENR000255,FAC0008,2025-02,School-Age,8,7,2025-02-07
ENR000256,FAC0008,2025-02,Kindergarten,4,2,2025-02-12
ENR000257,FAC0008,2025-02,Preschool,8,5,2025-02-04
ENR000258,FAC0008,2025-03,Preschool,5,4,2025-03-06
ENR000259,FAC0008,2025-03,Kindergarten,6,4,2025-03-01
ENR000260,FAC0008,2025-03,Toddler,4,3,2025-03-01
ENR000261,FAC0008,2025-03,School-Age,4,3,2025-03-23
ENR000262,FAC0008,2025-04,Kindergarten,6,5,2025-04-26
ENR000263,FAC0008,2025-04,Preschool,10,7,2025-04-06
ENR000264,FAC0008,2025-04,Infant,10,5,2025-04-04
ENR000265,FAC0008,2025-04,Toddler,8,3,2025-04-07
ENR000266,FAC0008,2025-05,Preschool,4,2,2025-05-20
ENR000267,FAC0008,2025-05,Kindergarten,6,4,2025-05-16
ENR000268,FAC0008,2025-05,School-Age,5,4,2025-05-06
ENR000269,FAC0008,2025-06,Infant,5,3,2025-06-28
ENR000270,FAC0008,2025-06,Kindergarten,10,8,2025-06-10
ENR000271,FAC0008,2025-06,School-Age,11,6,2025-06-14
ENR000272,FAC0008,2025-07,Infant,8,7,2025-07-07
ENR000273,FAC0008,2025-07,Preschool,8,6,2025-07-07
ENR000274,FAC0008,2025-07,Kindergarten,4,2,2025-07-10
ENR000275,FAC0008,2025-07,Toddler,4,2,2025-07-12
ENR000276,FAC0008,2025-08,Infant,8,6,2025-08-03
ENR000277,FAC0008,2025-08,Kindergarten,9,4,2025-08-11
ENR000278,FAC0008,2025-08,School-Age,9,7,2025-08-09
ENR000279,FAC0008,2025-08,Toddler,7,5,2025-08-06
ENR000280,FAC0008,2025-09,Preschool,8,7,2025-09-19
ENR000281,FAC0008,2025-09,Toddler,8,6,2025-09-28
ENR000282,FAC0008,2025-09,Kindergarten,8,5,2025-09-10
ENR000283,FAC0008,2025-09,School-Age,6,4,2025-09-12
ENR000284,FAC0008,2025-10,Infant,8,5,2025-10-27
ENR000285,FAC0008,2025-10,Preschool,4,3,2025-10-05
ENR000286,FAC0008,2025-10,Toddler,6,3,2025-10-25
ENR000287,FAC0008,2025-10,School-Age,6,5,2025-10-09
ENR000288,FAC0008,2025-11,Kindergarten,7,5,2025-11-15
ENR000289,FAC0008,2025-11,Preschool,9,4,2025-11-19
ENR000290,FAC0008,2025-11,School-Age,5,2,2025-11-24
ENR000291,FAC0008,2025-11,Infant,10,6,2025-11-17
ENR000292,FAC0008,2025-12,Kindergarten,4,3,2025-12-21
ENR000293,FAC0008,2025-12,School-Age,7,4,2025-12-26
ENR000294,FAC0008,2025-12,Infant,9,6,2025-12-27
ENR000295,FAC0008,2025-12,Preschool,5,3,2025-12-19
ENR000296,FAC0009,2025-01,School-Age,10,7,2025-01-24
ENR000297,FAC0009,2025-01,Preschool,8,5,2025-01-27
ENR000298,FAC0009,2025-01,Infant,5,3,2025-01-10
ENR000299,FAC0009,2025-02,Infant,4,1,2025-02-26
ENR000300,FAC0009,2025-02,School-Age,6,2,2025-02-11
ENR000301,FAC0009,2025-02,Toddler,4,3,2025-02-08
ENR000302,FAC0009,2025-02,Kindergarten,9,4,2025-02-21
ENR000303,FAC0009,2025-03,Infant,8,7,2025-03-09
ENR000304,FAC0009,2025-03,Kindergarten,5,4,2025-03-26
ENR000305,FAC0009,2025-03,Toddler,5,2,2025-03-25
ENR000306,FAC0009,2025-03,School-Age,8,5,2025-03-07
ENR000307,FAC0009,2025-04,Infant,4,3,2025-04-10
ENR000308,FAC0009,2025-04,Toddler,6,3,2025-04-23
ENR000309,FAC0009,2025-04,Kindergarten,5,2,2025-04-12
ENR000310,FAC0009,2025-04,Preschool,6,5,2025-04-06
ENR000311,FAC0009,2025-05,Preschool,9,8,2025-05-03
ENR000312,FAC0009,2025-05,School-Age,12,6,2025-05-20
ENR000313,FAC0009,2025-05,Infant,14,12,2025-05-26
ENR000314,FAC0009,2025-06,Preschool,7,5,2025-06-08
ENR000315,FAC0009,2025-06,Kindergarten,23,16,2025-06-01
ENR000316,FAC0009,2025-07,School-Age,9,5,2025-07-15
ENR000317,FAC0009,2025-07,Kindergarten,8,6,2025-07-24
ENR000318,FAC0009,2025-08,School-Age,7,5,2025-08-24
ENR000319,FAC0009,2025-08,Preschool,5,4,2025-08-28
ENR000320,FAC0009,2025-08,Toddler,10,9,2025-08-09
ENR000321,FAC0009,2025-08,Infant,5,4,2025-08-07
ENR000322,FAC0009,2025-09,Kindergarten,20,18,2025-09-24
ENR000323,FAC0009,2025-09,Toddler,11,9,2025-09-08
ENR000324,FAC0009,2025-10,Infant,6,2,2025-10-25
ENR000325,FAC0009,2025-10,Kindergarten,9,7,2025-10-25
ENR000326,FAC0009,2025-10,Preschool,5,3,2025-10-19
ENR000327,FAC0009,2025-11,Toddler,18,14,2025-11-06
ENR000328,FAC0009,2025-11,Preschool,6,5,2025-11-05
ENR000329,FAC0009,2025-12,School-Age,4,3,2025-12-20
ENR000330,FAC0009,2025-12,Preschool,14,12,2025-12-21
ENR000331,FAC0009,2025-12,Kindergarten,8,4,2025-12-24
ENR000332,FAC0010,2025-01,Preschool,7,5,2025-01-17
ENR000333,FAC0010,2025-01,Kindergarten,10,5,2025-01-07
ENR000334,FAC0010,2025-01,Toddler,6,2,2025-01-25
ENR000335,FAC0010,2025-01,Infant,9,6,2025-01-24
ENR000336,FAC0010,2025-02,Infant,26,18,2025-02-20
ENR000337,FAC0010,2025-02,Kindergarten,14,11,2025-02-18
ENR000338,FAC0010,2025-03,Infant,4,2,2025-03-15
ENR000339,FAC0010,2025-03,Kindergarten,11,8,2025-03-13
ENR000340,FAC0010,2025-03,Preschool,10,5,2025-03-06
ENR000341,FAC0010,2025-03,Toddler,9,3,2025-03-22
ENR000342,FAC0010,2025-04,Toddler,15,13,2025-04-01
ENR000343,FAC0010,2025-04,School-Age,9,6,2025-04-18
ENR000344,FAC0010,2025-04,Infant,5,4,2025-04-03
ENR000345,FAC0010,2025-05,Toddler,8,7,2025-05-20
ENR000346,FAC0010,2025-05,Infant,20,18,2025-05-03
ENR000347,FAC0010,2025-06,Toddler,12,6,2025-06-17
ENR000348,FAC0010,2025-06,School-Age,15,7,2025-06-17
ENR000349,FAC0010,2025-07,School-Age,8,4,2025-07-18
ENR000350,FAC0010,2025-07,Kindergarten,14,13,2025-07-24
ENR000351,FAC0010,2025-07,Infant,10,4,2025-07-25
ENR000352,FAC0010,2025-08,Toddler,11,9,2025-08-12
ENR000353,FAC0010,2025-08,School-Age,9,6,2025-08-24
ENR000354,FAC0010,2025-08,Infant,5,3,2025-08-24
ENR000355,FAC0010,2025-08,Kindergarten,5,3,2025-08-09
ENR000356,FAC0010,2025-09,School-Age,11,8,2025-09-12
ENR000357,FAC0010,2025-09,Toddler,7,5,2025-09-03
ENR000358,FAC0010,2025-10,Infant,12,5,2025-10-04
ENR000359,FAC0010,2025-10,Kindergarten,17,16,2025-10-19
ENR000360,FAC0010,2025-10,Toddler,18,13,2025-10-18
ENR000361,FAC0010,2025-11,Preschool,13,10,2025-11-12
ENR000362,FAC0010,2025-11,Toddler,13,9,2025-11-07
ENR000363,FAC0010,2025-11,School-Age,7,5,2025-11-28
ENR000364,FAC0010,2025-11,Infant,4,1,2025-11-26
ENR000365,FAC0010,2025-12,Infant,6,2,2025-12-25
ENR000366,FAC0010,2025-12,Toddler,11,8,2025-12-08
ENR000367,FAC0010,2025-12,School-Age,5,3,2025-12-10
ENR000368,FAC0010,2025-12,Kindergarten,11,9,2025-12-05
ENR000369,FAC0011,2025-01,School-Age,7,5,2025-01-11
ENR000370,FAC0011,2025-01,Preschool,21,16,2025-01-06
ENR000371,FAC0011,2025-02,School-Age,8,5,2025-02-18
ENR000372,FAC0011,2025-02,Infant,5,2,2025-02-24
ENR000373,FAC0011,2025-03,Toddler,4,2,2025-03-18
ENR000374,FAC0011,2025-03,Infant,4,2,2025-03-28
ENR000375,FAC0011,2025-03,Kindergarten,4,1,2025-03-21
ENR000376,FAC0011,2025-03,Preschool,6,5,2025-03-13
ENR000377,FAC0011,2025-04,Preschool,5,4,2025-04-05
ENR000378,FAC0011,2025-04,Kindergarten,7,5,2025-04-27
ENR000379,FAC0011,2025-04,School-Age,4,2,2025-04-28
ENR000380,FAC0011,2025-04,Infant,7,5,2025-04-24
ENR000381,FAC0011,2025-05,Infant,4,3,2025-05-11
ENR000382,FAC0011,2025-05,Kindergarten,6,4,2025-05-03
ENR000383,FAC0011,2025-05,Preschool,5,3,2025-05-27
ENR000384,FAC0011,2025-05,School-Age,7,3,2025-05-04
ENR000385,FAC0011,2025-06,Toddler,14,13,2025-06-25
ENR000386,FAC0011,2025-06,Infant,4,1,2025-06-15
ENR000387,FAC0011,2025-06,School-Age,14,12,2025-06-15
ENR000388,FAC0011,2025-07,Infant,7,3,2025-07-17
ENR000389,FAC0011,2025-07,Kindergarten,23,13,2025-07-13
ENR000390,FAC0011,2025-08,Infant,4,3,2025-08-25
ENR000391,FAC0011,2025-08,Toddler,7,3,2025-08-07
ENR000392,FAC0011,2025-08,School-Age,10,5,2025-08-08
ENR000393,FAC0011,2025-09,Toddler,6,3,2025-09-24
ENR000394,FAC0011,2025-09,Preschool,4,2,2025-09-13
ENR000395,FAC0011,2025-09,Kindergarten,7,6,2025-09-24
ENR000396,FAC0011,2025-10,Toddler,4,3,2025-10-18
ENR000397,FAC0011,2025-10,Infant,18,13,2025-10-16
ENR000398,FAC0011,2025-11,School-Age,10,6,2025-11-12
ENR000399,FAC0011,2025-11,Kindergarten,5,4,2025-11-27
ENR000400,FAC0011,2025-11,Infant,11,4,2025-11-10
ENR000401,FAC0011,2025-12,Kindergarten,10,9,2025-12-27
ENR000402,FAC0011,2025-12,Infant,7,4,2025-12-24
ENR000403,FAC0012,2025-01,Preschool,6,5,2025-01-17
ENR000404,FAC0012,2025-01,Toddler,5,3,2025-01-24
ENR000405,FAC0012,2025-01,Kindergarten,9,6,2025-01-06
ENR000406,FAC0012,2025-01,Infant,9,7,2025-01-08
ENR000407,FAC0012,2025-02,Preschool,9,3,2025-02-06
ENR000408,FAC0012,2025-02,Kindergarten,6,5,2025-02-09
ENR000409,FAC0012,2025-03,School-Age,5,4,2025-03-24
ENR000410,FAC0012,2025-03,Infant,4,1,2025-03-15
ENR000411,FAC0012,2025-03,Preschool,10,5,2025-03-27
ENR000412,FAC0012,2025-03,Kindergarten,10,9,2025-03-12
ENR000413,FAC0012,2025-04,Infant,4,2,2025-04-24
ENR000414,FAC0012,2025-04,Toddler,4,1,2025-04-28
ENR000415,FAC0012,2025-04,School-Age,6,3,2025-04-22
ENR000416,FAC0012,2025-04,Kindergarten,7,5,2025-04-25
ENR000417,FAC0012,2025-05,School-Age,10,6,2025-05-23
ENR000418,FAC0012,2025-05,Toddler,4,3,2025-05-21
ENR000419,FAC0012,2025-05,Preschool,6,2,2025-05-25
