claim_id,facility_id,claim_month,claimed_children,claim_amount,submitted_date,claim_status
CLM000082,FAC0007,2025-10,31,12300.00,2025-10-24,Approved
CLM000083,FAC0007,2025-11,34,30600.00,2025-11-24,Approved
CLM000084,FAC0007,2025-12,7,3700.00,2025-12-23,Approved
CLM000085,FAC0008,2025-01,14,7400.00,2025-01-25,Approved
CLM000086,FAC0008,2025-02,17,9300.00,2025-02-23,Approved
CLM000087,FAC0008,2025-03,14,8400.00,2025-03-27,Approved
CLM000088,FAC0008,2025-04,20,15600.00,2025-04-20,Approved
CLM000089,FAC0008,2025-05,10,4600.00,2025/09/26,Approved
CLM000090,FAC0008,2025-06,17,9100.00,2025-06-27,Rejected
CLM000091,FAC0008,2025-07,17,14700.00,2025-07-26,Rejected
CLM000092,FAC0008,2025-08,22,15200.00,2025-08-27,Approved
CLM000093,FAC0008,2025-09,22,14000.00,2025-09-27,Approved
CLM000094,FAC0008,2025-10,16,11800.00,2025-10-22,Approved
CLM000095,FAC0008,2025-11,17,12500.00,2025-11-25,Approved
CLM000096,FAC0008,2025-12,16,11400.00,2025-12-23,Approved
CLM000097,FAC0009,2025-01,15,8900.00,2025-01-21,Approved
CLM000098,FAC0009,2025-02,10,6400.00,2025-02-27,Approved
CLM000099,FAC0009,2025-03,18,13000.00,2025-03-28,Approved
CLM000100,FAC0009,2025-04,13,10500.00,2025-04-21,Approved
CLM000101,FAC0009,2025-05,26,20600.00,2025-05-24,Approved
CLM000102,FAC0009,2025-06,21,11500.00,2025-06-23,Approved
CLM000103,FAC0009,2025-07,11,4500.00,2025-07-27,Approved
CLM000104,FAC0009,2025-08,22,16800.00,2025-08-25,Approved
CLM000105,FAC0009,2025-09,27,17100.00,2025-09-22,Approved
CLM000106,FAC0009,2025-10,12,7800.00,2025-10-28,Approved
CLM000107,FAC0009,2025-11,19,16100.00,2025-11-20,Approved
CLM000108,FAC0009,2025-12,19,11300.00,2025-12-21,Approved
CLM000109,FAC0010,2025-01,18,14400.00,2025-01-22,Approved
CLM000110,FAC0010,2025-02,29,25300.00,2025-02-21,Approved
CLM000111,FAC0010,2025-03,18,12400.00,2025-03-21,Approved
CLM000112,FAC0010,2025-04,23,17900.00,2025-04-22,Approved
CLM000113,FAC0010,2025-05,25,26100.00,2025-05-23,Approved
CLM000114,FAC0010,2025-06,13,7500.00,2025-06-25,Approved
CLM000115,FAC0010,2025-07,21,12100.00,2025-07-21,Approved
CLM000116,FAC0010,2025-08,21,14700.00,2025-08-26,Approved
CLM000117,FAC0010,2025-09,13,6900.00,2025-09-26,Approved
CLM000118,FAC0010,2025-10,34,25200.00,2025-10-28,Approved
CLM000119,FAC0010,2025-11,25,17700.00,2025-11-22,Approved
CLM000120,FAC0010,2025-12,22,14800.00,2025-12-21,Approved
CLM000121,FAC0011,2025-01,21,12700.00,2025-01-25,Pending
CLM000122,FAC0011,2025-02,7,3700.00,2025-02-23,Approved
CLM000123,FAC0011,2025-03,10,8000.00,2025-03-24,Approved
CLM000124,FAC0011,2025-04,16,11400.00,2025-04-20,Approved
CLM000125,FAC0011,2025-05,13,8300.00,2025-05-27,Approved
CLM000126,FAC0011,2025-06,26,16400.00,2025-06-21,Approved
CLM000127,FAC0011,2025-07,16,9800.00,2025-07-26,Approved
CLM000128,FAC0011,2025-08,11,7500.00,2025-08-21,Approved
CLM000129,FAC0011,2025-09,11,7100.00,2025-09-27,Approved
CLM000130,FAC0011,2025-10,16,17000.00,2025-10-26,Approved
CLM000131,FAC0011,2025-11,14,8200.00,2025-11-23,Approved
CLM000132,FAC0011,2025-12,13,8900.00,2025-12-28,Approved
CLM000133,FAC0012,2025-01,21,16900.00,2025-01-22,Approved
CLM000134,FAC0012,2025-02,8,4600.00,2025-02-21,Approved
CLM000135,FAC0012,2025-03,19,10300.00,2025-03-28,Approved
CLM000136,FAC0012,2025-04,11,6500.00,2025-04-20,Approved
CLM000137,FAC0012,2025-05,15,10300.00,2025-05-24,Approved
CLM000138,FAC0012,2025-06,10,8000.00,2025-06-22,Approved
CLM000139,FAC0012,2025-07,17,9700.00,2025-07-26,Approved
CLM000140,FAC0012,2025-08,19,10900.00,2025-08-23,Approved
CLM000141,FAC0012,2025-09,15,9100.00,2025-09-20,Approved
CLM000142,FAC0012,2025-10,18,14400.00,2025-10-24,Approved
CLM000143,FAC0012,2025-11,22,15000.00,2025-11-20,Approved
CLM000144,FAC0012,2025-12,15,9900.00,2025-12-21,Approved
CLM000145,FAC0014,2025-01,14,11000.00,2025-01-22,Approved
CLM000146,FAC0014,2025-02,14,8200.00,2025-02-20,Approved
CLM000147,FAC0014,2025-03,12,7400.00,2025-03-24,Approved
CLM000148,FAC0014,2025-04,14,8600.00,2025-04-20,Approved
CLM000149,FAC0014,2025-05,8,5400.00,2025-05-27,Approved
CLM000150,FAC0014,2025-06,19,15700.00,2025-06-20,Approved
CLM000151,FAC0014,2025-07,15,14100.00,2025-07-24,Approved
CLM000152,FAC0014,2025-08,13,10700.00,2025-08-22,Approved
CLM000153,FAC0014,2025-09,9,3500.00,2025-09-25,Pending
CLM000154,FAC0014,2025-10,12,9600.00,2025-10-25,Approved
CLM000155,FAC0014,2025-11,10,9200.00,2025-11-23,Approved
CLM000156,FAC0014,2025-12,15,8300.00,2025-12-28,Approved
CLM000157,FAC0015,2025-01,12,8800.00,2025-01-27,Approved
CLM000158,FAC0015,2025-02,14,9000.00,2025-02-26,Approved
CLM000159,FAC0015,2025-03,22,18800.00,2025-03-21,Approved
CLM000160,FAC0015,2025-04,16,11800.00,2025-04-20,Approved
CLM000161,FAC0015,2025-05,17,12100.00,2025-05-21,Approved
CLM000162,FAC0015,2025-06,14,12600.00,2025-06-20,Approved
CLM000163,FAC0015,2025-07,22,15000.00,2025-07-20,Approved
CLM000164,FAC0015,2025-08,26,16800.00,2025-08-23,Approved
CLM000165,FAC0015,2025-09,19,13100.00,2025-09-22,Approved
CLM000166,FAC0015,2025-10,8,4800.00,2025-10-27,Approved
CLM000167,FAC0015,2025-11,17,12100.00,2025-11-25,Approved
CLM000168,FAC0015,2025-12,12,7400.00,2025-12-28,Approved
CLM000169,FAC0016,2025-01,77,67900.00,2025-01-26,Approved
CLM000170,FAC0016,2025-02,54,32200.00,2025-02-27,Pending
CLM000171,FAC0016,2025-03,44,25800.00,2025-03-24,Approved
CLM000172,FAC0016,2025-04,48,21600.00,2025-04-22,Approved
CLM000173,FAC0016,2025-05,21,11900.00,2025-05-27,Approved
CLM000174,FAC0016,2025-06,52,38800.00,2025-06-28,Approved
CLM000175,FAC0016,2025-07,50,23200.00,2025-07-20,Approved
CLM000176,FAC0016,2025-08,35,13500.00,2025-08-25,Approved
CLM000177,FAC0016,2025-09,52,32200.00,2025-09-28,Approved
CLM000178,FAC0016,2025-10,24,20400.00,2025-10-25,Approved
CLM000179,FAC0016,2025-11,64,63600.00,2025-11-22,Approved
CLM000180,FAC0016,2025-12,49,26900.00,2025-12-25,Approved
CLM000181,FAC0017,2025-01,43,31900.00,2025-01-27,Approved
CLM000182,FAC0017,2025-02,24,13000.00,2025-02-22,Approved
CLM000183,FAC0017,2025-03,15,5700.00,2025-03-20,Approved
CLM000184,FAC0017,2025-04,53,32500.00,2025-04-24,Approved
CLM000185,FAC0017,2025-05,20,18800.00,2025-05-23,Approved
CLM000186,FAC0017,2025-06,73,45100.00,2025-06-23,Approved
CLM000187,FAC0017,2025-07,39,30700.00,2025-07-25,Approved
CLM000188,FAC0017,2025-08,62,60000.00,2025-08-23,Approved
CLM000189,FAC0017,2025-09,39,24100.00,2025-09-20,Approved
CLM000190,FAC0017,2025-10,61,45900.00,2025-10-22,Approved
CLM000191,FAC0017,2025-11,54,27000.00,2025-11-25,Pending
CLM000192,FAC0017,2025-12,22,17200.00,2025-12-20,Approved
CLM000193,FAC0018,2025-01,27,20700.00,2025-01-27,Approved
CLM000194,FAC0018,2025-02,19,11500.00,2025-02-20,Approved
CLM000195,FAC0018,2025-03,10,8400.00,2025-03-20,Approved
CLM000196,FAC0018,2025-04,16,11600.00,2025-04-26,Approved
CLM000197,FAC0018,2025-05,20,16800.00,2025-05-20,Approved
CLM000198,FAC0018,2025-06,22,18200.00,2025-06-26,Approved
CLM000199,FAC0018,2025-07,20,11800.00,2025-07-24,Approved
CLM000200,FAC0018,2025-08,20,14800.00,2025-08-25,Approved
CLM000201,FAC0018,2025-09,14,12000.00,2025-09-24,Approved
CLM000202,FAC0018,2025-10,22,12000.00,2025-10-20,Approved
CLM000203,FAC0018,2025-11,9,9300.00,2025-11-21,Approved
CLM000204,FAC0018,2025-12,17,10100.00,2025-12-23,Approved
CLM000205,FAC0019,2025-01,15,12300.00,2025-01-20,Approved
CLM000206,FAC0019,2025-02,18,14400.00,2025-02-27,Approved
CLM000207,FAC0019,2025-03,27,20100.00,2025-03-26,Approved
CLM000208,FAC0019,2025-04,16,11600.00,2025-04-21,Approved
CLM000209,FAC0019,2025-05,15,9300.00,2025-05-23,Approved
CLM000210,FAC0019,2025-06,29,16700.00,2025-06-24,Approved
CLM000211,FAC0019,2025-07,13,8900.00,2025-07-27,Approved
CLM000212,FAC0019,2025-08,18,11400.00,2025-08-26,Approved
CLM000213,FAC0019,2025-09,22,15400.00,2025-09-27,Approved
CLM000214,FAC0019,2025-10,17,12100.00,2025-10-28,Pending
CLM000215,FAC0019,2025-11,19,11100.00,2025-11-21,Approved
CLM000216,FAC0019,2025-12,24,11000.00,2025-12-25,Approved
CLM000217,FAC0020,2025-01,41,29500.00,2025-01-28,Approved
CLM000218,FAC0020,2025-02,29,20300.00,2025-02-24,Approved
CLM000219,FAC0020,2025-03,17,13300.00,2025-03-28,Approved
CLM000220,FAC0020,2025-04,37,27900.00,2025-04-21,Approved
CLM000221,FAC0020,2025-05,60,39000.00,2025-05-21,Approved
CLM000222,FAC0020,2025-06,33,20300.00,2025-06-26,Approved
CLM000223,FAC0020,2025-07,26,20600.00,2025-07-28,Approved
CLM000224,FAC0020,2025-08,30,20800.00,2025-08-23,Pending
CLM000225,FAC0020,2025-09,38,27000.00,2025-09-28,Approved
CLM000226,FAC0020,2025-10,21,16100.00,2025-10-26,Approved
CLM000227,FAC0020,2025-11,32,26800.00,2025-11-21,Approved
CLM000228,FAC0020,2025-12,20,12200.00,2025-12-25,Approved
CLM000229,FAC0021,2025-01,41,33100.00,2025-01-23,Approved
CLM000230,FAC0021,2025-02,35,14900.00,2025-02-23,Pending
CLM000231,FAC0021,2025-03,31,16900.00,2025-03-23,Rejected
CLM000232,FAC0021,2025-04,36,22000.00,2025-04-20,Approved
CLM000233,FAC0021,2025-05,55,40900.00,2025-05-27,Approved
CLM000234,FAC0021,2025-06,61,43700.00,2025-06-28,Approved
CLM000235,FAC0021,2025-07,28,24400.00,2025-07-28,Approved
CLM000236,FAC0021,2025-08,35,28300.00,2025-08-28,Approved
CLM000237,FAC0021,2025-09,48,41800.00,2025-09-23,Approved
CLM000238,FAC0021,2025-10,35,23900.00,2025-10-24,Approved
CLM000239,FAC0021,2025-11,28,22400.00,2025-11-26,Rejected
CLM000240,FAC0021,2025-12,61,52700.00,2025-12-21,Approved
CLM000241,FAC0022,2025-01,86,65000.00,2025-01-23,Approved
CLM000242,FAC0022,2025-02,85,41500.00,2025-02-26,Approved
CLM000243,FAC0022,2025-03,44,25200.00,2025-03-24,Pending
CLM000244,FAC0022,2025-04,76,63600.00,2025-04-20,Approved
CLM000245,FAC0022,2025-05,51,29900.00,2025-05-25,Approved
CLM000246,FAC0022,2025-06,78,47400.00,2025-06-24,Approved
CLM000247,FAC0022,2025-07,53,48700.00,2025-07-20,Approved
CLM000248,FAC0022,2025-08,79,49100.00,2025-08-26,Approved
CLM000249,FAC0022,2025-09,84,62800.00,2025-09-26,Approved
CLM000250,FAC0022,2025-10,39,24900.00,2025-10-25,Approved
CLM000251,FAC0022,2025-11,46,42200.00,2025-11-25,Approved
CLM000252,FAC0022,2025-12,78,53600.00,2025-12-23,Pending
CLM000253,FAC0023,2025-01,36,24800.00,2025-01-20,Pending
CLM000254,FAC0023,2025-02,26,20800.00,2025-02-22,Approved
CLM000255,FAC0023,2025-03,104,41200.00,2025-03-26,Approved
CLM000256,FAC0023,2025-04,53,38100.00,2025-04-28,Approved
CLM000257,FAC0023,2025-05,38,25000.00,2025-05-22,Approved
CLM000258,FAC0023,2025-06,84,45800.00,2025-06-28,Approved
CLM000259,FAC0023,2025-07,55,28100.00,2025-07-22,Approved
CLM000260,FAC0023,2025-08,24,23200.00,2025-08-23,Approved
CLM000261,FAC0023,2025-09,41,29300.00,2025-09-23,Approved
CLM000262,FAC0023,2025-10,38,17000.00,2025-10-27,Approved
CLM000263,FAC0023,2025-11,81,49100.00,2025-11-23,Pending
CLM000264,FAC0023,2025-12,53,47100.00,2025-12-27,Approved
CLM000265,FAC0024,2025-01,46,33400.00,2025-01-27,Approved
CLM000266,FAC0024,2025-02,37,30700.00,2025-02-25,Approved
CLM000267,FAC0024,2025-03,32,16600.00,2025-03-21,Approved
CLM000268,FAC0024,2025-04,54,19600.00,2025-04-26,Approved
CLM000269,FAC0024,2025-05,50,40600.00,2025-05-20,Approved
CLM000270,FAC0024,2025-06,71,36100.00,2025-06-24,Approved
CLM000271,FAC0024,2025-07,37,34300.00,2025-07-24,Approved
CLM000272,FAC0024,2025-08,75,44700.00,2025-08-21,Approved
CLM000273,FAC0024,2025-09,57,41500.00,2025-09-28,Pending
CLM000274,FAC0024,2025-10,42,22400.00,2025-10-26,Approved
CLM000275,FAC0024,2025-11,67,43900.00,2025-11-25,Approved
CLM000276,FAC0024,2025-12,36,15600.00,2025-12-27,Pending
CLM000277,FAC0025,2025-01,31,21900.00,2025-01-22,Approved
CLM000278,FAC0025,2025-02,37,30900.00,2025-02-22,Approved
CLM000279,FAC0025,2025-03,28,15600.00,2025-03-27,Approved
CLM000280,FAC0025,2025-04,33,23100.00,2025-04-21,Pending
CLM000281,FAC0025,2025-05,23,11900.00,2025-05-22,Approved
CLM000282,FAC0025,2025-06,24,17200.00,2025-06-22,Approved
CLM000283,FAC0025,2025-07,25,13500.00,2025-07-20,Rejected
CLM000284,FAC0025,2025-08,23,15700.00,2025-08-28,Rejected
CLM000285,FAC0025,2025-09,26,21800.00,2025-09-28,Approved
CLM000286,FAC0025,2025-10,28,17800.00,2025-10-22,Approved
CLM000287,FAC0025,2025-11,23,12100.00,2025-11-25,Approved
CLM000288,FAC0025,2025-12,14,14200.00,2025-12-22,Approved
CLM000289,FAC0026,2025-01,32,15400.00,2025-01-27,Approved
CLM000290,FAC0026,2025-02,24,17000.00,2025-02-21,Approved
CLM000291,FAC0026,2025-03,34,27400.00,2025-03-26,Approved
CLM000292,FAC0026,2025-04,26,13600.00,2025-04-28,Approved
CLM000293,FAC0026,2025-05,13,8300.00,2025-05-28,Rejected
CLM000294,FAC0026,2025-06,27,14100.00,2025-06-27,Approved
CLM000295,FAC0026,2025-07,14,11800.00,2025-07-27,Approved
CLM000296,FAC0026,2025-08,16,8800.00,2025-08-24,Approved
CLM000297,FAC0026,2025-09,21,18700.00,2025-09-27,Approved
CLM000298,FAC0026,2025-10,17,7500.00,2025-10-26,Approved
CLM000299,FAC0026,2025-11,24,22400.00,2025-11-27,Approved
CLM000300,FAC0026,2025-12,5,3700.00,2025-12-28,Approved
CLM000301,FAC0027,2025-01,44,34200.00,2025-01-23,Approved
CLM000302,FAC0027,2025-02,61,40900.00,2025-02-26,Approved
CLM000303,FAC0027,2025-03,36,37800.00,2025-03-25,Pending
CLM000304,FAC0027,2025-04,24,14000.00,2025-04-22,Approved
CLM000305,FAC0027,2025-05,75,58500.00,2025-05-21,Approved
CLM000306,FAC0027,2025-06,82,57400.00,2025-06-23,Approved
CLM000307,FAC0027,2025-07,68,55600.00,2025-07-27,Approved
CLM000308,FAC0027,2025-08,29,17500.00,2025-08-25,Approved
CLM000309,FAC0027,2025-09,95,50900.00,2025-09-23,Rejected
CLM000310,FAC0027,2025-10,36,20800.00,2025-10-21,Approved
CLM000311,FAC0027,2025-11,63,43300.00,2025-11-23,Approved
CLM000312,FAC0027,2025-12,22,13400.00,2025-12-24,Approved
CLM000313,FAC0028,2025-01,44,33800.00,2025-01-22,Approved
CLM000314,FAC0028,2025-02,31,29300.00,2025-02-28,Approved
CLM000315,FAC0028,2025-03,34,18800.00,2025-03-24,Pending
CLM000316,FAC0028,2025-04,36,27600.00,2025-04-23,Approved
CLM000317,FAC0028,2025-05,27,22300.00,2025-05-26,Approved
CLM000318,FAC0028,2025-06,64,42400.00,2025-06-26,Pending
CLM000319,FAC0028,2025-07,35,18100.00,2025-07-26,Approved
CLM000320,FAC0028,2025-08,40,22000.00,2025-08-23,Approved
CLM000321,FAC0028,2025-09,38,23400.00,2025-09-27,Approved
CLM000322,FAC0028,2025-10,42,34800.00,2025-10-21,Approved
CLM000323,FAC0028,2025-11,47,33500.00,2025-11-25,Approved
CLM000324,FAC0028,2025-12,21,19100.00,2025-12-21,Approved
CLM000325,FAC0029,2025-01,27,20300.00,2025-01-28,Approved
CLM000326,FAC0029,2025-02,15,11300.00,2025-02-24,Approved
CLM000327,FAC0029,2025-03,35,19300.00,2025-03-23,Approved
CLM000328,FAC0029,2025-04,32,24200.00,2025-04-25,Approved
CLM000329,FAC0029,2025-05,38,32200.00,2025-05-25,Pending
CLM000330,FAC0029,2025-06,28,20000.00,2025-06-25,Approved
CLM000331,FAC0029,2025-07,39,20900.00,2025-07-26,Approved
CLM000332,FAC0029,2025-08,32,24200.00,2025-08-23,Rejected
CLM000333,FAC0029,2025-09,29,24300.00,2025-09-25,Pending
CLM000334,FAC0029,2025-10,49,37700.00,2025-10-20,Approved
CLM000335,FAC0029,2025-11,23,12300.00,2025-11-24,Approved
CLM000336,FAC0029,2025-12,32,23400.00,2025-12-27,Pending
CLM000337,FAC0030,2025-01,14,9400.00,2025-01-23,Approved
CLM000338,FAC0030,2025-02,11,5700.00,2025-02-22,Approved
CLM000339,FAC0030,2025-03,35,22100.00,2025-03-28,Approved
CLM000340,FAC0030,2025-04,25,11700.00,2025-04-22,Approved
CLM000341,FAC0030,2025-05,19,14700.00,2025-05-28,Approved
CLM000342,FAC0030,2025-06,18,13400.00,2025-06-27,Approved
CLM000343,FAC0030,2025-07,33,17500.00,2025-07-26,Approved
CLM000344,FAC0030,2025-08,13,6700.00,2025-08-20,Approved
CLM000345,FAC0030,2025-09,24,22200.00,2025-09-25,Approved
CLM000346,FAC0030,2025-10,12,9400.00,2025-10-25,Approved
CLM000347,FAC0030,2025-11,25,23500.00,2025-11-28,Approved
CLM000348,FAC0030,2025-12,16,8800.00,2025-12-22,Approved
CLM000349,FAC0031,2025-01,46,18600.00,2025-01-27,Approved
CLM000350,FAC0031,2025-02,46,27000.00,2025-02-28,Approved
CLM000351,FAC0031,2025-03,37,29500.00,2025-03-24,Approved
CLM000352,FAC0031,2025-04,44,38000.00,2025-04-27,Rejected
CLM000353,FAC0031,2025-05,40,26000.00,2025-05-28,Approved
CLM000354,FAC0031,2025-06,44,37800.00,2025-06-23,Rejected
CLM000355,FAC0031,2025-07,44,29600.00,2025-07-24,Approved
CLM000356,FAC0031,2025-08,30,21600.00,2025-08-25,Approved
CLM000357,FAC0031,2025-09,17,16700.00,2025-09-23,Approved
CLM000358,FAC0031,2025-10,32,16600.00,2025-10-20,Pending
CLM000359,FAC0031,2025-11,39,33300.00,2025-11-24,Approved
CLM000360,FAC0031,2025-12,40,21400.00,2025-12-28,Approved
CLM000361,FAC0032,2025-01,71,46900.00,2025-01-21,Approved
CLM000362,FAC0032,2025-02,30,21600.00,2025-02-21,Approved
CLM000363,FAC0032,2025-03,79,76300.00,2025-03-26,Approved
CLM000364,FAC0032,2025-04,48,24600.00,2025-04-24,Approved
CLM000365,FAC0032,2025-05,54,31800.00,2025-05-28,Approved
CLM000366,FAC0032,2025-06,46,33200.00,2025-06-22,Approved
CLM000367,FAC0032,2025-07,53,34900.00,2025-07-23,Pending
CLM000368,FAC0032,2025-08,61,47300.00,2025-08-26,Pending
CLM000369,FAC0032,2025-09,98,58800.00,2025-09-26,Approved
CLM000370,FAC0032,2025-10,44,26600.00,2025-10-28,Approved
CLM000371,FAC0032,2025-11,50,37800.00,2025-11-21,Approved
CLM000372,FAC0032,2025-12,99,75900.00,2025-12-26,Approved
CLM000373,FAC0033,2025-01,49,43300.00,2025-01-24,Approved
CLM000374,FAC0033,2025-02,15,11900.00,2025-02-26,Approved
CLM000375,FAC0033,2025-03,65,42500.00,2025-03-25,Approved
CLM000376,FAC0033,2025-04,30,12400.00,2025-04-26,Approved
CLM000377,FAC0033,2025-05,66,48600.00,2025-05-20,Approved
CLM000378,FAC0033,2025-06,92,55600.00,2025-06-21,Approved
CLM000379,FAC0033,2025-07,39,28700.00,2025-07-23,Approved
CLM000380,FAC0033,2025-08,57,49900.00,2025-08-27,Rejected
CLM000381,FAC0033,2025-09,73,60100.00,2025-09-28,Approved
CLM000382,FAC0033,2025-10,49,27500.00,2025-10-26,Approved
CLM000383,FAC0033,2025-11,22,18200.00,2025-11-20,Approved
CLM000384,FAC0033,2025-12,45,23900.00,2025-12-21,Approved
CLM000385,FAC0034,2025-01,27,21100.00,2025-01-20,Approved
CLM000386,FAC0034,2025-02,11,5700.00,2025-02-20,Approved
CLM000387,FAC0034,2025-03,49,35300.00,2025-03-23,Approved
CLM000388,FAC0034,2025-04,53,38500.00,2025-04-26,Approved
CLM000389,FAC0034,2025-05,43,35900.00,2025-05-27,Approved
CLM000390,FAC0034,2025-06,23,15100.00,2025-06-27,Approved
CLM000391,FAC0034,2025-07,19,14900.00,2025-07-20,Approved
CLM000392,FAC0034,2025-08,46,30200.00,2025-08-25,Approved
CLM000393,FAC0034,2025-09,24,15200.00,2025-09-25,Approved
CLM000394,FAC0034,2025-10,32,19600.00,2025-10-21,Approved
CLM000395,FAC0034,2025-11,17,8300.00,2025-11-27,Approved
CLM000396,FAC0034,2025-12,16,11800.00,2025-12-21,Approved
CLM000397,FAC0035,2025-01,37,20900.00,2025-01-21,Approved
